,Customer Type,Type of Travel,Class,satisfaction,Flight Distance,Inflight entertainment,Baggage handling,Arrival Delay in Minutes
27456,1,1,3,1,1011,4,4,31.0
27457,1,1,3,1,163,3,2,0.0
27459,2,2,3,1,364,4,5,1.0
27460,1,2,2,2,1149,4,5,0.0
27461,1,2,2,2,1988,4,4,0.0
27462,2,2,3,1,1039,2,4,97.0
27463,1,2,2,2,1065,5,5,59.0
27464,1,2,2,2,3961,4,5,11.0
27465,2,2,2,1,936,3,5,8.0
27466,1,2,2,2,767,5,5,5.0
27468,1,1,2,1,954,4,3,0.0
27470,2,2,3,1,721,4,2,2.0
27471,1,2,2,2,2275,4,5,5.0
27472,1,2,2,1,2638,2,2,0.0
27473,2,2,2,1,500,2,2,0.0
27474,1,2,2,2,151,5,5,14.0
27475,1,1,1,1,419,2,2,22.0
27476,1,2,1,1,1979,3,3,10.0
27477,1,1,3,1,496,1,4,10.0
27478,1,1,3,1,1303,4,3,0.0
27480,1,2,3,1,222,4,4,15.0
27481,1,2,2,2,1750,5,5,2.0
27482,2,2,2,2,432,3,4,0.0
27483,1,1,3,2,1404,1,1,0.0
27484,2,2,2,1,1117,3,3,110.0
27485,2,2,3,1,836,4,4,24.0
27487,1,2,2,2,3906,2,2,0.0
27489,1,2,2,2,1638,5,5,25.0
27490,1,2,1,1,1535,3,3,1.0
27491,1,1,3,2,909,5,2,4.0
27492,1,2,2,1,3627,4,4,39.0
27493,2,2,3,1,1797,1,2,29.0
27494,1,1,3,1,483,2,4,48.0
27495,1,1,3,1,2182,5,3,0.0
27496,1,2,2,2,2807,4,5,0.0
27497,2,2,3,1,239,2,1,6.0
27498,1,1,3,1,871,4,2,0.0
27499,1,1,1,1,226,5,5,10.0
27500,1,1,3,1,944,3,3,2.0
27501,1,1,3,2,552,1,5,23.0
27503,2,2,2,1,356,4,4,0.0
27504,1,2,3,1,342,3,3,47.0
27505,1,1,3,1,255,4,2,11.0
27506,1,1,3,1,642,4,2,0.0
27507,1,1,3,1,680,1,5,0.0
27508,2,2,3,1,629,4,4,2.0
27509,1,2,2,2,1431,2,2,12.0
27510,1,2,2,1,2048,3,4,0.0
27511,1,2,2,2,507,2,4,7.0
27513,1,2,2,2,2640,3,3,0.0
27514,1,2,2,2,120,4,3,1.0
27516,1,2,2,2,2293,4,4,5.0
27517,1,2,2,1,2038,2,2,39.0
27518,1,1,3,2,326,5,2,0.0
27519,2,2,2,1,528,4,4,0.0
27520,2,2,3,1,488,3,1,3.0
27521,2,2,2,1,197,5,4,40.0
27522,1,2,2,2,1705,4,4,1.0
27524,1,1,3,1,199,3,5,29.0
27525,1,2,2,1,190,2,4,21.0
27526,1,2,2,2,3958,5,5,3.0
27527,1,2,2,2,3093,5,3,102.0
27528,2,2,3,1,430,5,4,0.0
27529,2,2,3,1,1092,1,4,7.0
27530,1,2,1,1,562,4,4,1.0
27531,1,1,3,1,468,1,3,0.0
27532,1,2,1,2,641,5,4,4.0
27533,2,2,2,2,250,3,5,0.0
27534,1,1,2,1,343,2,2,0.0
27535,2,2,2,2,1133,3,5,0.0
27536,1,1,1,1,227,3,4,3.0
27537,1,1,3,1,241,4,2,0.0
27538,1,2,1,2,862,4,3,0.0
27539,1,2,2,2,2077,3,3,13.0
27540,1,2,2,2,148,4,5,13.0
27541,1,1,3,1,347,3,5,0.0
27542,2,2,3,1,550,1,3,14.0
27543,1,2,2,2,2986,3,3,0.0
27544,2,2,3,1,531,1,4,0.0
27545,1,1,3,1,184,4,5,0.0
27546,1,1,3,1,697,5,5,7.0
27547,1,1,1,1,965,1,1,0.0
27548,1,2,2,1,190,4,2,33.0
27549,1,1,3,1,1199,3,3,13.0
27550,1,2,2,2,226,4,4,4.0
27551,1,2,2,2,2395,4,4,0.0
27552,2,2,2,1,776,5,3,1.0
27553,1,2,2,1,979,2,2,0.0
27554,2,2,2,1,2173,1,4,0.0
27555,1,2,2,2,3757,4,4,26.0
27556,1,1,3,1,1013,1,1,0.0
27557,1,2,3,1,736,4,4,6.0
27558,2,2,3,1,107,4,3,0.0
27559,2,2,2,1,577,2,5,29.0
27560,2,2,3,1,655,5,3,0.0
27561,1,2,2,2,740,4,4,0.0
27563,1,2,2,2,2380,4,4,0.0
27564,1,1,3,1,577,1,1,7.0
27565,2,2,2,2,1376,3,4,0.0
27566,1,1,3,1,1121,1,5,0.0
27567,1,2,2,2,2736,5,5,36.0
27569,1,2,2,1,2399,4,4,0.0
27571,1,2,3,1,293,4,3,0.0
27572,1,2,2,2,328,5,5,5.0
27573,1,2,2,2,240,5,5,3.0
27574,1,2,2,1,1846,3,2,90.0
27576,2,2,2,1,140,5,4,0.0
27577,1,1,3,1,366,3,3,2.0
27578,2,2,2,1,655,1,5,2.0
27579,2,2,1,2,192,3,4,117.0
27580,1,2,2,2,366,3,2,0.0
27581,1,2,2,2,3716,3,3,1.0
27582,1,2,2,2,2121,5,5,0.0
27584,1,1,1,1,332,5,4,7.0
27585,1,2,2,1,2560,2,2,0.0
27586,1,2,2,2,214,4,4,14.0
27587,1,1,3,1,358,3,4,0.0
27589,2,2,3,1,1721,4,4,0.0
27590,1,2,2,2,2748,4,4,12.0
27591,1,2,3,2,542,5,2,8.0
27592,1,2,2,2,3307,5,5,0.0
27593,2,2,3,2,594,2,5,1.0
27594,1,2,2,2,2394,5,5,50.0
27595,2,2,2,2,551,1,4,0.0
27596,1,1,3,1,2402,1,2,0.0
27597,1,2,3,1,212,3,4,104.0
27598,1,2,2,2,1587,5,5,1.0
27599,2,2,2,2,110,2,5,14.0
27600,2,2,3,1,137,2,3,0.0
27601,2,2,2,1,604,5,5,0.0
27602,1,1,3,1,1276,4,2,105.0
27603,1,1,1,1,1107,5,5,0.0
27604,1,1,3,1,368,2,2,3.0
27606,1,2,3,1,1407,1,4,71.0
27608,1,2,3,1,189,3,2,0.0
27610,1,2,2,2,151,5,5,3.0
27611,1,2,2,2,3868,3,3,0.0
27614,1,2,3,1,1021,3,4,0.0
27615,1,1,3,1,669,1,1,8.0
27616,2,2,2,2,895,4,5,2.0
27617,1,1,3,2,937,1,5,4.0
27619,2,2,2,1,1315,2,4,0.0
27620,2,2,3,1,484,5,1,16.0
27621,1,2,2,2,406,5,5,18.0
27622,1,2,2,2,3749,4,4,15.0
27623,1,2,3,1,2537,4,3,0.0
27624,1,1,3,1,853,2,1,15.0
27625,2,2,3,1,532,3,1,0.0
27626,2,2,3,1,2422,3,3,0.0
27627,1,1,3,1,255,2,3,8.0
27628,2,2,2,1,1171,2,4,16.0
27631,1,1,1,1,1072,4,4,0.0
27632,1,1,3,1,1744,1,4,0.0
27635,2,2,3,1,496,2,4,7.0
27636,1,1,3,1,908,3,5,0.0
27638,1,1,1,1,393,2,5,0.0
27639,1,2,2,2,1709,3,3,15.0
27640,1,1,3,1,1011,4,4,13.0
27641,1,1,3,1,460,5,5,0.0
27642,2,2,2,1,569,5,5,0.0
27643,1,2,3,2,674,4,1,4.0
27644,1,2,2,2,3111,4,4,1.0
27645,1,1,3,1,404,4,4,4.0
27646,1,1,3,1,1927,3,3,21.0
27647,2,2,2,1,407,4,4,74.0
27648,1,2,3,2,634,4,2,0.0
27649,1,2,2,2,696,5,5,0.0
27650,1,1,2,1,690,1,2,0.0
27651,1,1,3,1,640,5,4,0.0
27652,1,2,3,2,1075,2,2,0.0
27653,1,1,3,2,562,1,5,35.0
27655,1,1,3,1,255,1,1,7.0
27656,1,2,2,2,2332,4,4,0.0
27658,2,2,3,2,229,3,5,0.0
27659,1,2,2,2,3796,5,5,60.0
27660,1,2,2,1,2403,2,2,0.0
27661,1,1,3,1,1009,5,3,0.0
27662,1,1,3,1,533,4,5,0.0
27663,1,2,2,2,1825,5,5,26.0
27664,1,1,1,1,213,3,5,76.0
27665,1,2,2,2,2740,3,5,0.0
27666,1,1,3,1,175,3,4,169.0
27667,1,2,2,2,270,4,4,21.0
27668,1,1,3,1,1521,5,5,97.0
27669,1,1,2,2,505,3,4,8.0
27670,1,1,3,1,1224,5,4,15.0
27671,1,1,3,1,472,1,5,21.0
27672,1,2,1,1,760,1,2,27.0
27673,1,2,2,2,1635,4,4,25.0
27674,1,1,3,1,2519,1,1,24.0
27675,1,1,3,1,406,1,4,27.0
27676,1,1,3,1,834,4,4,28.0
27678,1,2,3,2,403,2,2,52.0
27679,2,2,3,1,190,1,3,41.0
27681,2,2,2,1,1089,5,2,0.0
27682,1,1,2,1,1182,4,4,1.0
27683,1,2,2,2,3505,1,1,0.0
27684,1,2,2,2,2969,1,1,9.0
27686,1,2,3,1,1426,2,3,24.0
27687,1,2,3,2,201,4,3,1.0
27688,1,1,3,1,179,1,1,7.0
27689,1,1,3,1,1609,5,5,16.0
27690,1,2,3,2,802,5,2,0.0
27691,1,2,2,1,1616,3,3,0.0
27692,2,2,2,2,446,5,4,4.0
27695,2,2,3,1,1325,1,2,0.0
27696,1,1,3,1,576,1,5,18.0
27698,1,2,2,2,3474,5,5,0.0
27699,1,2,1,1,443,3,3,0.0
27700,1,2,2,2,1632,4,4,25.0
27701,1,2,2,1,606,4,4,0.0
27702,1,2,2,2,1119,5,5,11.0
27703,1,2,2,2,1544,5,5,0.0
27704,1,2,2,1,1671,2,2,6.0
27705,1,1,3,1,1067,3,3,110.0
27706,2,2,2,2,1462,4,5,0.0
27707,1,2,2,2,951,5,5,12.0
27708,2,2,3,1,1275,3,4,35.0
27709,2,2,3,1,1205,3,4,0.0
27710,1,2,2,2,3533,5,5,3.0
27711,1,2,2,2,650,5,5,35.0
27712,1,2,2,2,2679,4,4,4.0
27713,2,1,3,1,157,4,5,0.0
27714,2,2,3,2,150,1,5,0.0
27715,1,2,2,2,2334,4,4,0.0
27716,1,1,1,1,1674,2,2,17.0
27717,2,2,1,1,867,4,4,0.0
27718,1,1,2,2,883,3,4,305.0
27720,1,2,2,2,3425,4,2,5.0
27721,1,2,2,2,591,4,4,0.0
27722,2,2,2,2,397,3,1,0.0
27723,1,1,3,1,235,3,4,15.0
27724,1,2,2,2,2858,2,2,2.0
27725,2,2,3,1,605,3,4,19.0
27726,2,2,3,1,802,5,1,0.0
27727,1,1,3,1,1235,5,4,0.0
27728,1,2,2,2,645,4,4,0.0
27729,2,2,3,1,1379,2,4,9.0
27730,1,2,3,2,679,5,2,12.0
27731,1,1,2,1,762,3,4,22.0
27732,1,2,2,2,1746,4,4,860.0
27733,2,2,3,1,711,1,3,0.0
27734,1,2,2,1,3402,3,3,0.0
27735,1,2,2,1,211,3,4,30.0
27736,1,2,2,2,1602,5,5,0.0
27737,1,2,2,1,1085,2,2,9.0
27739,1,2,2,2,1047,5,5,81.0
27740,1,1,3,1,868,5,5,0.0
27741,1,2,2,1,1643,3,2,0.0
27742,1,2,2,1,2556,3,3,0.0
27743,2,2,2,1,408,1,1,0.0
27744,1,1,3,1,2504,3,4,11.0
27745,1,1,3,1,260,3,4,0.0
27746,1,1,1,1,1024,5,2,0.0
27747,1,1,3,1,1205,1,3,0.0
27748,1,2,2,2,1984,2,2,6.0
27749,1,2,2,2,1524,2,2,0.0
27750,1,1,3,2,1774,3,4,0.0
27751,1,1,1,1,641,4,3,2.0
27752,2,2,3,1,408,4,3,20.0
27753,1,2,3,2,119,4,3,40.0
27754,1,1,1,1,763,1,4,0.0
27755,1,2,2,1,1772,2,2,0.0
27756,1,1,1,1,1121,3,3,0.0
27757,1,1,1,2,584,2,2,0.0
27758,1,2,3,2,991,4,3,0.0
27759,1,1,3,1,1504,4,4,0.0
27760,1,2,2,2,873,5,3,0.0
27761,1,2,2,1,325,3,3,13.0
27762,1,2,2,2,802,4,4,14.0
27763,2,2,2,1,854,1,5,0.0
27764,1,1,1,1,1117,1,4,0.0
27765,1,1,3,1,481,5,3,0.0
27766,1,2,3,1,899,3,3,8.0
27767,1,2,2,2,922,5,5,48.0
27768,1,2,1,2,2562,5,5,0.0
27769,2,2,3,2,108,5,4,0.0
27770,1,2,3,1,337,4,2,1.0
27771,1,2,2,2,954,5,5,10.0
27773,1,2,2,2,449,4,4,0.0
27774,1,1,3,1,2399,3,3,0.0
27775,2,2,3,1,1014,5,3,43.0
27776,2,2,3,1,745,4,3,113.0
27777,1,1,3,1,802,4,2,0.0
27779,1,2,2,2,2765,4,4,17.0
27780,2,2,3,2,173,4,3,0.0
27781,2,2,2,1,1814,5,3,30.0
27782,1,2,2,1,1822,1,1,3.0
27783,2,2,3,2,1145,2,4,15.0
27784,1,1,3,1,2704,3,4,0.0
27786,1,1,3,1,954,3,4,0.0
27787,1,2,2,2,3252,4,4,0.0
27788,1,2,1,2,404,5,3,0.0
27789,1,2,3,1,74,2,2,0.0
27790,1,1,3,1,667,1,4,6.0
27791,2,2,2,2,1389,5,5,0.0
27792,1,2,2,2,473,5,5,0.0
27794,1,1,3,1,950,4,2,0.0
27795,1,2,2,2,672,5,5,0.0
27796,1,1,3,1,160,4,5,0.0
27797,1,2,3,2,308,4,2,0.0
27798,1,2,2,1,946,1,4,35.0
27799,1,1,3,1,748,5,5,0.0
27800,2,2,1,1,554,3,4,6.0
27801,1,1,3,1,212,2,4,0.0
27802,1,1,3,1,1091,5,5,53.0
27803,1,1,3,1,372,1,2,6.0
27805,2,2,1,1,1754,2,3,0.0
27806,1,1,3,1,223,4,3,0.0
27807,1,2,2,2,2422,2,2,8.0
27808,1,2,1,2,191,4,5,0.0
27810,1,2,3,1,407,2,4,9.0
27811,2,2,2,1,447,2,5,2.0
27812,1,2,2,2,1733,5,2,0.0
27813,2,2,2,1,1211,4,4,38.0
27814,1,1,3,1,192,4,5,0.0
27815,1,2,2,1,109,3,4,13.0
27816,1,1,3,1,349,4,3,17.0
27817,1,2,2,2,2544,4,5,0.0
27818,1,1,3,1,850,5,5,44.0
27820,1,2,2,2,554,4,4,16.0
27821,1,2,2,2,496,5,5,2.0
27822,1,2,2,2,2853,2,2,0.0
27823,1,2,2,1,2230,1,3,135.0
27824,1,1,3,1,287,5,5,0.0
27826,2,2,2,2,237,3,5,0.0
27827,2,2,2,2,173,4,4,0.0
27828,1,1,2,1,547,2,5,49.0
27829,1,1,3,1,1416,2,5,0.0
27830,1,1,3,1,545,4,5,2.0
27831,1,1,3,1,481,2,2,0.0
27832,1,2,2,2,944,3,3,0.0
27833,2,2,3,1,802,1,4,0.0
27834,1,1,3,1,334,2,5,9.0
27835,2,2,3,1,447,4,4,6.0
27836,1,2,2,1,3392,2,2,9.0
27837,1,2,2,1,2364,3,3,111.0
27839,1,2,2,2,2630,5,5,0.0
27840,1,1,3,1,200,3,4,0.0
27841,1,2,3,1,228,3,4,7.0
27842,2,2,2,1,2342,1,4,14.0
27843,1,2,1,1,327,3,3,0.0
27845,2,2,2,2,515,5,5,43.0
27847,2,2,1,1,2052,4,2,23.0
27848,1,2,2,1,1874,2,2,105.0
27849,1,2,2,2,2463,4,4,0.0
27850,1,2,2,2,3786,4,5,0.0
27852,1,2,2,2,438,5,5,0.0
27853,1,1,1,1,1428,4,2,0.0
27854,1,1,2,1,728,2,2,0.0
27855,1,1,3,1,449,2,4,84.0
27856,1,2,2,2,841,4,2,2.0
27857,1,2,2,2,3059,3,2,2.0
27858,2,2,3,1,913,2,3,87.0
27859,1,2,2,2,1055,3,3,1.0
27860,1,2,2,1,929,3,4,0.0
27861,2,2,3,2,710,3,4,0.0
27863,2,2,3,1,341,2,5,0.0
27864,1,2,2,2,696,4,4,24.0
27865,2,2,3,1,391,3,1,0.0
27866,2,2,3,1,1442,2,4,0.0
27867,1,1,1,1,236,1,3,2.0
27868,1,1,3,1,1855,3,3,224.0
27869,1,1,3,1,319,2,4,4.0
27870,1,2,2,1,2272,1,1,27.0
27871,2,2,3,1,764,5,3,0.0
27872,2,2,3,1,423,4,4,32.0
27873,2,2,3,1,125,4,3,2.0
27874,1,1,3,1,436,5,5,25.0
27875,1,2,2,2,3292,4,4,0.0
27876,1,2,2,2,1660,4,4,0.0
27877,1,1,3,1,844,1,5,0.0
27879,1,2,2,2,116,2,2,10.0
27880,1,2,2,1,2060,2,2,0.0
27881,1,2,2,1,3282,4,4,0.0
27882,2,2,1,1,715,3,4,0.0
27883,1,1,2,1,160,3,5,2.0
27884,1,2,2,2,628,4,4,10.0
27885,2,2,2,1,280,2,4,7.0
27887,1,1,2,1,1751,4,4,2.0
27888,2,2,1,1,928,2,3,14.0
27889,1,2,1,2,231,4,3,0.0
27890,1,1,3,1,550,4,4,3.0
27891,1,2,2,2,1797,4,4,4.0
27893,2,2,2,2,1262,2,4,1.0
27894,1,1,3,2,405,2,3,0.0
27895,1,1,2,1,292,4,4,0.0
27896,2,2,3,1,429,4,3,7.0
27897,1,2,2,2,266,5,5,7.0
27898,1,1,3,2,1188,4,5,0.0
27900,1,1,3,1,221,1,3,1.0
27901,1,1,1,1,2442,5,5,0.0
27905,1,2,3,1,236,4,3,0.0
27908,1,2,2,2,2519,5,5,36.0
27909,1,1,3,1,488,5,5,24.0
27910,1,2,2,2,788,4,4,0.0
27911,1,2,2,2,1739,4,4,18.0
27912,1,2,2,1,3322,1,3,0.0
27913,2,2,2,1,2133,2,4,0.0
27914,1,2,3,2,432,5,1,28.0
27915,1,2,2,2,3422,5,5,0.0
27917,1,2,2,1,2542,2,2,13.0
27918,2,2,3,1,967,4,4,8.0
27920,2,2,3,1,299,3,4,0.0
27921,1,2,2,2,3068,4,4,1.0
27922,1,2,2,2,534,5,5,6.0
27923,1,1,3,2,304,4,4,0.0
27924,2,2,2,2,787,2,5,7.0
27925,1,2,2,2,413,3,3,0.0
27926,1,1,3,1,819,3,5,22.0
27928,1,1,2,1,2475,3,3,14.0
27929,1,2,3,2,1010,5,2,0.0
27930,1,1,3,1,317,2,3,118.0
27931,1,1,3,1,448,5,5,0.0
27932,1,1,1,1,1117,4,5,0.0
27933,1,2,2,1,2275,2,2,7.0
27934,2,2,3,1,463,3,4,16.0
27936,1,2,2,1,3274,4,3,0.0
27937,1,2,2,2,153,5,4,0.0
27938,1,1,3,1,650,2,3,16.0
27939,1,1,2,2,1126,2,3,0.0
27940,1,1,3,1,1107,1,5,0.0
27941,2,2,3,1,1041,2,4,65.0
27942,1,2,2,2,2704,1,1,0.0
27943,1,1,3,2,544,2,3,0.0
27944,1,1,3,1,1846,1,1,0.0
27945,1,1,3,1,236,2,4,17.0
27946,1,1,2,1,669,2,4,15.0
27947,1,2,2,2,3235,5,5,1.0
27949,1,2,2,1,2355,2,2,0.0
27950,1,2,2,1,1744,1,1,62.0
27951,1,1,3,1,369,2,2,10.0
27953,1,1,3,1,1810,4,4,10.0
27954,1,2,3,2,641,5,4,24.0
27955,1,2,2,2,3324,4,4,0.0
27956,1,1,3,1,490,1,2,0.0
27957,1,2,2,1,577,4,3,12.0
27958,1,1,3,1,302,1,4,0.0
27959,1,2,2,1,759,3,3,0.0
27960,1,2,2,2,1620,4,4,5.0
27961,2,2,3,1,96,1,1,0.0
27962,1,1,1,1,643,1,1,85.0
27963,1,2,2,1,2172,3,3,0.0
27964,1,2,2,2,409,4,5,29.0
27965,2,2,2,2,678,5,4,0.0
27966,1,1,3,1,446,5,5,9.0
27967,1,2,3,1,1197,4,3,9.0
27968,1,2,3,2,2677,2,2,0.0
27969,1,2,2,1,414,2,2,0.0
27970,1,2,2,1,3743,3,3,36.0
27971,1,2,2,1,3457,3,4,258.0
27972,1,1,3,1,544,2,2,15.0
27973,1,2,2,2,3992,4,5,0.0
27975,2,2,3,1,1207,3,5,15.0
27976,1,2,2,2,1491,4,4,22.0
27977,1,1,3,1,944,3,5,0.0
27978,1,1,3,1,288,1,1,0.0
27979,1,1,3,1,1235,4,4,4.0
27980,1,1,3,2,1771,3,2,0.0
27982,1,2,2,2,1813,4,4,0.0
27983,1,2,2,2,3921,5,5,0.0
27985,1,2,2,2,491,5,5,17.0
27986,1,2,2,2,528,3,3,2.0
27987,1,2,2,2,1506,4,4,0.0
27988,1,1,3,1,737,5,4,87.0
27989,1,1,3,1,1431,4,2,23.0
27990,1,2,3,2,129,3,1,1.0
27991,1,2,2,2,3178,3,5,0.0
27993,1,1,3,1,236,3,4,38.0
27995,1,1,2,1,442,2,2,9.0
27996,2,2,2,1,134,4,4,81.0
27997,1,2,2,2,2276,4,4,0.0
27998,1,1,3,1,247,1,1,78.0
27999,1,1,3,1,1747,4,4,149.0
28000,1,2,2,1,2221,4,3,0.0
28001,1,2,3,1,1008,2,3,14.0
28002,2,2,3,1,702,1,4,15.0
28003,1,2,2,2,1681,5,5,0.0
28004,1,1,3,1,569,4,4,0.0
28005,2,2,3,2,157,4,5,2.0
28006,1,2,3,1,1547,4,4,6.0
28007,1,1,3,1,489,3,5,194.0
28008,1,2,3,2,241,4,1,0.0
28009,1,1,3,1,1121,5,4,86.0
28011,1,1,3,2,1620,2,4,0.0
28012,2,2,2,1,192,3,4,0.0
28013,1,2,2,2,2193,4,5,0.0
28014,1,1,3,1,1032,2,5,0.0
28017,1,2,2,2,2304,4,4,9.0
28019,1,2,2,2,689,4,5,13.0
28020,1,1,1,1,503,2,2,0.0
28021,2,2,2,1,338,2,5,0.0
28022,1,2,2,2,1121,4,5,12.0
28023,1,1,1,1,1189,4,4,0.0
28024,1,2,2,1,3757,4,4,0.0
28025,1,2,2,1,2286,3,3,25.0
28026,2,2,2,1,223,2,4,0.0
28027,1,1,3,1,1056,4,5,0.0
28029,1,1,3,1,1607,1,1,0.0
28030,1,2,2,2,813,3,3,35.0
28032,1,2,2,2,469,5,5,4.0
28033,1,1,3,1,1010,4,4,12.0
28034,1,1,3,1,1085,3,3,0.0
28035,1,2,3,2,363,4,1,36.0
28037,2,2,2,2,1075,2,4,7.0
28038,1,1,1,2,888,5,3,0.0
28039,1,1,3,1,1109,2,4,0.0
28040,1,1,1,1,325,5,5,0.0
28041,1,1,3,1,190,3,1,24.0
28042,1,2,2,2,1895,5,5,81.0
28043,1,2,2,1,874,3,3,0.0
28044,1,1,3,1,214,5,1,5.0
28045,1,2,2,2,3090,4,4,0.0
28046,2,2,3,1,1117,3,4,28.0
28047,2,2,2,1,425,2,1,0.0
28048,2,2,2,1,1334,3,4,0.0
28050,1,2,2,1,3754,3,4,0.0
28051,2,2,3,1,199,3,1,0.0
28052,1,2,2,2,3280,3,3,74.0
28053,1,2,2,2,2225,4,3,0.0
28055,1,1,3,1,744,4,2,101.0
28056,1,2,2,2,1091,5,5,258.0
28057,1,2,1,2,2496,5,5,0.0
28058,1,1,1,1,787,4,4,21.0
28059,1,1,2,1,448,3,3,8.0
28060,2,2,1,1,421,5,3,32.0
28062,1,2,2,2,2546,5,3,0.0
28063,1,2,2,1,868,3,3,8.0
28064,1,2,1,1,308,3,4,0.0
28065,1,2,1,2,531,4,4,0.0
28066,2,2,3,1,417,5,2,7.0
28067,2,2,3,1,495,4,2,0.0
28068,1,2,2,2,352,5,2,0.0
28069,1,2,2,2,363,4,4,4.0
28071,1,2,2,2,919,4,4,0.0
28073,1,2,3,2,834,5,1,0.0
28075,2,2,2,1,925,5,4,6.0
28077,1,1,2,1,351,1,2,702.0
28078,1,2,3,1,192,4,3,25.0
28080,1,1,3,1,196,5,5,0.0
28081,1,1,2,1,328,2,3,0.0
28082,1,2,2,2,2543,5,5,0.0
28083,1,2,2,2,1568,5,5,0.0
28084,1,1,3,1,2475,1,4,0.0
28085,1,2,3,2,771,4,4,0.0
28086,1,2,1,1,290,2,2,21.0
28087,2,2,2,1,222,5,3,5.0
28088,1,2,3,1,370,4,4,0.0
28090,1,1,3,1,517,5,5,27.0
28091,2,2,2,2,1061,3,4,3.0
28092,1,1,3,1,937,1,5,24.0
28093,2,2,2,2,931,4,4,0.0
28094,1,1,3,1,187,2,5,14.0
28095,1,1,1,1,370,4,3,0.0
28096,1,1,1,1,409,2,5,0.0
28097,1,1,3,1,634,5,3,0.0
28098,1,2,2,1,2432,1,4,38.0
28099,1,2,2,2,3508,5,5,0.0
28100,2,2,2,2,1437,4,2,64.0
28101,2,2,2,1,928,1,5,9.0
28102,1,2,2,2,1235,4,4,60.0
28103,1,2,2,2,2401,5,5,0.0
28104,1,1,3,1,717,4,4,86.0
28105,2,2,3,1,886,2,3,3.0
28106,1,2,2,2,628,4,2,60.0
28107,1,2,2,1,998,4,4,11.0
28108,1,2,2,2,3810,4,4,2.0
28109,1,2,2,2,2300,3,3,0.0
28110,2,2,3,2,1117,3,2,3.0
28111,1,2,3,1,2182,3,2,0.0
28112,1,2,3,1,373,3,3,62.0
28113,1,1,3,1,328,5,2,11.0
28114,1,2,2,2,616,4,4,5.0
28115,1,1,3,1,719,5,5,0.0
28116,2,2,2,1,373,5,3,3.0
28118,1,2,1,1,288,2,4,0.0
28119,1,1,3,1,536,5,4,0.0
28120,1,1,1,2,239,4,4,0.0
28121,1,2,2,2,2461,5,5,52.0
28122,1,1,1,1,507,2,4,0.0
28123,1,1,3,1,744,4,1,6.0
28125,1,1,3,1,153,4,4,65.0
28127,1,1,3,1,1874,3,2,0.0
28128,2,2,2,2,391,1,4,0.0
28129,1,1,3,1,192,4,5,72.0
28130,1,1,3,1,600,2,2,5.0
28131,1,2,3,1,1243,1,3,33.0
28132,1,1,3,1,944,2,2,3.0
28133,1,2,3,2,1428,5,5,4.0
28134,1,1,3,1,1199,3,3,0.0
28135,1,2,2,2,1810,3,4,95.0
28136,1,1,3,1,373,2,1,4.0
28137,1,1,3,1,2615,5,5,0.0
28138,1,2,2,2,2259,5,5,0.0
28139,1,1,1,1,735,1,3,0.0
28140,1,1,3,1,1390,3,1,47.0
28141,1,2,3,2,920,4,3,0.0
28142,2,2,3,1,959,4,4,40.0
28143,1,1,3,1,630,3,4,0.0
28144,1,2,1,1,1754,4,2,0.0
28145,2,2,2,1,370,3,5,76.0
28146,1,1,3,1,1192,5,4,0.0
28147,1,1,3,1,1416,4,4,0.0
28148,2,2,2,2,2075,3,5,18.0
28149,1,2,1,2,589,4,4,0.0
28150,1,2,2,2,1460,3,3,0.0
28151,2,2,3,1,944,1,4,0.0
28152,1,2,2,2,409,4,4,28.0
28153,1,2,2,1,421,2,2,50.0
28154,1,2,2,2,762,4,4,1.0
28155,1,2,2,2,2475,4,5,29.0
28156,1,1,3,1,191,3,4,0.0
28157,1,2,3,2,1504,4,5,14.0
28158,1,1,3,1,134,5,5,0.0
28159,1,1,3,2,920,4,5,1.0
28160,2,2,3,2,763,4,1,0.0
28161,2,2,3,1,1119,4,4,17.0
28162,1,2,2,2,3455,4,5,0.0
28163,2,2,2,2,1020,1,5,14.0
28164,1,1,3,1,1744,3,3,6.0
28165,1,1,3,1,1005,2,2,21.0
28166,1,2,2,2,1379,4,4,22.0
28168,1,2,2,2,468,4,4,360.0
28169,1,1,3,1,712,1,1,14.0
28170,2,2,3,1,159,3,3,0.0
28171,1,1,3,1,837,1,1,0.0
28172,1,1,2,1,605,3,3,7.0
28173,1,2,2,2,2010,4,4,29.0
28174,2,2,2,2,325,2,5,3.0
28175,1,2,2,2,2115,4,1,0.0
28176,1,2,2,2,2944,5,5,0.0
28177,1,2,2,2,406,4,3,0.0
28178,1,2,2,2,1565,5,5,0.0
28179,1,2,2,2,1922,5,5,0.0
28180,2,2,3,1,511,2,2,35.0
28181,1,2,2,2,315,4,4,72.0
28182,1,2,2,2,1046,5,3,0.0
28183,1,2,2,2,2414,4,4,13.0
28184,1,1,3,1,589,2,5,0.0
28185,2,2,3,1,130,2,4,0.0
28186,1,1,3,1,1276,4,5,0.0
28188,1,1,1,1,347,1,1,12.0
28190,1,2,2,2,3945,4,4,0.0
28191,1,1,2,1,1947,2,4,0.0
28192,1,1,3,2,432,5,5,0.0
28194,1,2,3,1,2079,1,1,53.0
28195,1,1,2,1,543,1,5,0.0
28197,1,2,2,1,312,4,4,67.0
28198,1,2,2,1,3252,4,3,0.0
28199,1,1,3,1,192,5,5,34.0
